"System","Data.Type","Species","ContactTypes"
"Rum deer","Census","Cervus elaphus","GOG_Dominance"
"Soay sheep","Census","Ovis aries","GOG"
"Sleepy lizards","GPS","Tiliqua rugosa","GPSProximity"
"Wild crickets","Census","Gryllus campestris","Fight_Mate"
"Moorea sharks","Stationary Loggers","Carcharhinus melanopterus","GOG"
"Wytham tits","Stationary Loggers","Parus major","GOG"
"Woodchester badgers","Co-trapping","Meles meles","CoTrapping"
"Wytham badgers","Co-trapping","Meles meles","CoTrapping"
"Kenyan elephants","GPS","Loxodonta africana","GOG"
"Chagos sharks","Stationary Loggers","Carcharhinus amblyrhynchos","GOG"
"Palmyra sharks","Stationary Loggers","Carcharhinus amblyrhynchos","GOG"
"Wytham wood mice","Co-trapping","Apodemus sylvaticus","CoTrapping"
"Silwood wood mice","Co-trapping","Apodemus sylvaticus","CoTrapping"
"Multimammate mice","Co-trapping","Mastomys natalensis","TrapProximity"
"Golden-crowned sparrow","Census","Zonotrichia atricapilla","GOG"
"Reticulated giraffes","GPS","Giraffa camelopardalis","GOG"
"Prairie dogs","Census","Cynomys ludovicianus","GOG"
"Acorn woodpeckers","Stationary Loggers","Melanerpes formicivorus","GOG"
"Water dragons","Census","Intellagama lesueurii","CensusProximity"
"Kielder voles","Co-trapping","Microtus agrestis","TrapProximity"
"Kalahari meerkats","Census","Suricata suricatta","GOG"
"Cornish cattle","Proximity Loggers, GPS","Bos taurus","ProximityCollar"
"African dogs","Proximity Loggers, GPS","Canis lupus","ProximityCollar"
"Desert tortoises","Co-trapping","Gopherus agassizii","DenSharing"
"Mountain Lake mice","Co-trapping","Peromyscus leucopus","TrapProximity"
"Liverpool wood mice","Co-Trapping","Apodemus sylvaticus","TrapProximity"
"Falkirk wood mice","Co-Trapping","Apodemus sylvaticus","TrapProximity"
"Ein Gedi hyraxes","Census","Procavia capensis","GOG"
"Potomac dolphins","Census","Tursiops truncatus","GOG"
"European boar","Proximity Loggers, GPS","Sus scrofa","ProximityCollar"
"Vulturine guineafowl","Census","Acryllium vulturinum","GPSProximity"
"Moray dolphins","Census","Tursiops truncatus","Census"
"Firth of Tay dolphins","Census","Tursiops truncatus","Census"
"Shark Bay dolphins","Census","Tursiops aduncus","Census"
"Serengeti lions","Census","Panthera leo","Census"
"Bottlenose whales","Census","Hyperoodon ampullatus","Census"
